COUNTRY_	POSTAL_CODE_	PLACE_NAME_	ADMIN1_NAME_	ADMIN1_CODE_	ADMIN2_NAME_	ADMIN2_CODE_	ADMIN3_NAME_	ADMIN3_CODE_	LATITUDE_	LONGITUDE_	ACCURACY_
CH	5000	Aarau		AG	Bezirk Aarau	1901	Aarau	4001	47.3925	8.0442	4
CH	5004	Aarau		AG	Bezirk Aarau	1901	Aarau	4001	47.3925	8.0442	4
CH	5017	Barmelweid		AG	Bezirk Aarau	1901	Erlinsbach (AG)	4005	47.4159	7.9764	4
CH	5018	Erlinsbach		AG	Bezirk Aarau	1901	Erlinsbach (AG)	4005	47.4052	8.0151	4
CH	5022	Rombach		AG	Bezirk Aarau	1901	Küttigen	4008	47.4047	8.0459	4
CH	5023	Biberstein		AG	Bezirk Aarau	1901	Biberstein	4002	47.4164	8.0851	4
CH	5024	Küttigen		AG	Bezirk Aarau	1901	Küttigen	4008	47.4157	8.0477	4
CH	5025	Asp		AG	Bezirk Aarau	1901	Densbüren	4004	47.445	8.0503	4
CH	5026	Densbüren		AG	Bezirk Aarau	1901	Densbüren	4004	47.4526	8.0533	4
CH	5032	Aarau Rohr		AG	Bezirk Aarau	1901	Aarau	4001	47.4017	8.0796	4
CH	5033	Buchs AG		AG	Bezirk Aarau	1901	Buchs (AG)	4003	47.3936	8.0823	4
CH	5034	Suhr		AG	Bezirk Aarau	1901	Suhr	4012	47.3717	8.0797	4
CH	5035	Unterentfelden		AG	Bezirk Aarau	1901	Unterentfelden	4013	47.3681	8.0502	4
CH	5036	Oberentfelden		AG	Bezirk Aarau	1901	Oberentfelden	4010	47.3564	8.0459	4
CH	5037	Muhen		AG	Bezirk Aarau	1901	Muhen	4009	47.3367	8.0541	4
CH	5042	Hirschthal		AG	Bezirk Aarau	1901	Hirschthal	4007	47.3187	8.0564	4
CH	5722	Gränichen		AG	Bezirk Aarau	1901	Gränichen	4006	47.3593	8.1024	4
CH	5300	Turgi		AG	Bezirk Baden	1902	Turgi	4042	47.492	8.2541	4
CH	5301	Siggenthal Station		AG	Bezirk Baden	1902	Untersiggenthal	4044	47.5174	8.2395	4
CH	5303	Würenlingen		AG	Bezirk Baden	1902	Würenlingen	4047	47.5336	8.2567	4
CH	5400	Baden		AG	Bezirk Baden	1902	Baden	4021	47.4733	8.3059	4
CH	5404	Baden		AG	Bezirk Baden	1902	Baden	4021	47.4733	8.3059	4
CH	5405	Dättwil AG		AG	Bezirk Baden	1902	Baden	4021	47.4551	8.2847	4
CH	5406	Rütihof		AG	Bezirk Baden	1902	Baden	4021	47.44	8.2712	4
CH	5408	Ennetbaden		AG	Bezirk Baden	1902	Ennetbaden	4026	47.4804	8.3235	4
CH	5412	Vogelsang AG		AG	Bezirk Baden	1902	Gebenstorf	4029	47.4943	8.2382	4
CH	5412	Gebenstorf		AG	Bezirk Baden	1902	Gebenstorf	4029	47.4814	8.2395	4
CH	5413	Birmenstorf AG		AG	Bezirk Baden	1902	Birmenstorf (AG)	4024	47.4615	8.2482	4
CH	5415	Nussbaumen AG		AG	Bezirk Baden	1902	Obersiggenthal	4038	47.4872	8.2917	4
CH	5415	Hertenstein AG		AG	Bezirk Baden	1902	Obersiggenthal	4038	47.4871	8.3115	4
CH	5415	Rieden AG		AG	Bezirk Baden	1902	Obersiggenthal	4038	47.4846	8.3018	4
CH	5416	Kirchdorf AG		AG	Bezirk Baden	1902	Obersiggenthal	4038	47.4966	8.2754	4
CH	5417	Untersiggenthal		AG	Bezirk Baden	1902	Untersiggenthal	4044	47.5021	8.2555	4
CH	5420	Ehrendingen		AG	Bezirk Baden	1902	Ehrendingen	4049	47.5025	8.3473	4
CH	5423	Freienwil		AG	Bezirk Baden	1902	Freienwil	4028	47.503	8.3277	4
CH	5430	Wettingen		AG	Bezirk Baden	1902	Wettingen	4045	47.4705	8.3164	4
CH	5432	Neuenhof		AG	Bezirk Baden	1902	Neuenhof	4034	47.4526	8.3258	4
CH	5436	Würenlos		AG	Bezirk Baden	1902	Würenlos	4048	47.4421	8.3644	4
CH	5442	Fislisbach		AG	Bezirk Baden	1902	Fislisbach	4027	47.439	8.2969	4
CH	5443	Niederrohrdorf		AG	Bezirk Baden	1902	Niederrohrdorf	4035	47.4235	8.3064	4
