key_,language_,value_
office.core.application,de,Kaiserpfalz Office
office.core.application,en,Kaiserpfalz Office
office.core.version,de,Version
office.core.version,en,Version
office.core.module,de,Modul
office.core.module,en,Module
office.core.label.tenant,de,Mandant
office.core.label.tenant,en,Tenant
office.core.label.id,de,ID
office.core.label.id,en,ID
office.core.label.display_number,de,Nummer
office.core.label.display_number,en,Number
office.core.label.display_name,de,Name
office.core.label.display_name,en,Name
office.core.label.hidden,de,Versteckt
office.core.label.hidden,en,Hidden
office.core.label.deleted,de,Gelöscht
office.core.label.deleted,en,Deleted
office.module.contacts,de,Adressen
office.module.contacts,en,Contacts
office.module.files,de,Akten
office.module.files,en,Files
office.module.documents,de,Dokumente
office.module.documents,en,Documents
office.module.finance,de,Finanzen
office.module.finance,en,Finance
office.module.accounting,de,Buchhaltung
office.module.accounting,en,Accounting
office.licence.id,de,Lizenz-Nr.
office.licence.id,en,Licence No.
office.licence.id,en_US,License No.
office.licence.key,de,Lizenzschlüssel
office.licence.key,en,Licence Key
office.licence.key,en_US,License Key
office.licence.issuer,de,Lizenzgeber
office.licence.issuer,en,Licence Issuer
office.licence.issuer,en_US,License Issuer
office.licence.licencee,de,Lizenznehmer
office.licence.licencee,en,Licencee
office.licence.licencee,en_US,Licensee
office.licence.date.issued,de,Lizenzierungsdatum
office.licence.date.issued,en,Licence issued
office.licence.date.issued,en_US,License issued
office.licence.valid_from,de,gültig ab
office.licence.valid_from,en,valid from 
office.licence.valid_till,de,gültig bis
office.licence.valid_till,en,valid till
office.security.identity,de,Person
office.security.identity,en,Identity
office.security.account,de,Anmeldename
office.security.account,en,Username
office.security.password,de,Paßwort
office.security.password,en,Password
office.security.role,de,Rolle
office.security.role,en,Role
office.security.login_failed.short,de,Anmeldung fehlgeschlagen!
office.security.login_failed.short,en,Login failed!
office.security.login_failed.long,de,Die Anmeldung ist fehlgeschlagen. Bitte prüfen Sie den Anmeldenamen und das Passwort.
office.security.login_failed.long,en,The login failed. Please check username and password!
office.security.ticket_failed.short,de,Anmeldung fehlgeschlagen!
office.security.ticket_failed.short,en,Login failed!
office.security.ticket_failed.long,de,Ihre Anmeldung ist abgelaufen. Bitte prüfen Sie ihre Anmeldung!
office.security.ticket_failed.long,en,Your login expired. Please check your login!
