type_id,type_locale,name
-1,de,[unbekannt]
0,de,nicht vorhanden
1,de,beliebig
100100000,de,Erdteil
100200000,de,Staat/Land
100300000,de_CH,Kanton
100300000,de_DE,Bundesland
100400000,de,Regierungsbezirk
100500000,de,Landkreis
100600000,de,Politische Gliederung
100700000,de,Ortschaft
100800000,de,Postleitzahlgebiet
100900000,de,Ortsteil
200100000,de,WGS84 Koordinaten
200200000,de,lat
200300000,de,lon
300100000,de,Auf einen Tag genaues Datum
300200000,de,Auf ein Monat genaues Datum
300300000,de,Auf ein Jahr genaues Datum
300400000,de,Auf 10 Jahre genaues Datum
300500000,de,Unbekanntes Datum in der Zukunft
400100000,de,Teil von
400200000,de,Ebene
400300000,de,Typ
500100000,de,Name
500100001,de,ISO 3166 Alpha-2
500100002,de,Sortiername
500100003,de,ISO_3166_2
500100004,de,Region eines Postleitzahlgebietes
500300000,de,Postleitzahl
500400000,de,Telefonvorwahl
500500000,de,KFZ-Kennzeichen
500600000,de,Amtlicher Gemeindeschlüssel
500700000,de,Verwaltungszusammenschluss
500700001,de,Sortiername eines Verwaltungszusammenschlusses
500800000,de,Quelle
500900000,de,Kommentar
600700000,de,Einwohnerzahl
600800000,de,Höhenangabe in Metern
610000000,de,Fläche
650700001,de,Ungefähre Einwohnerzahl
650700002,de,Genaue Einwohnerzahl
650800001,de,Maximale Höhe
650800002,de,Minimale Höhe
650800003,de,Durchschnittliche Höhe
650800004,de,Höhe am Referenzpunkt mit der angegebenen loc_id
650800005,de,Höhe an der angegebenen Koordinate
